BOTTOMLAYER
640,-0.5
(0.005,(0.025 -0.045 0),-1.8334e-09)
(0.005,(0.025 -0.04 0),-1.83774e-09)
(0.005,(0.025 -0.035 0),-1.87813e-09)
(0.005,(0.025 -0.03 0),-1.96127e-09)
(0.005,(0.025 -0.025 0),-1.9828e-09)
(0.005,(0.025 -0.02 0),-1.98225e-09)
(0.005,(0.025 -0.015 0),-1.95902e-09)
(0.005,(0.025 -0.01 0),-1.87235e-09)
(0.005,(0.025 -0.005 0),-1.82798e-09)
(0.005,(0.025 0 0),-1.82445e-09)
(0.005,(0.025 0.005 0),-1.64187e-09)
(0.005,(0.025 0.01 0),-8.06624e-10)
(0.005,(0.025 0.015 0),-4.11018e-10)
(0.005,(0.025 0.02 0),-3.00026e-10)
(0.005,(0.025 0.025 0),-2.60781e-10)
(0.005,(0.025 0.03 0),-2.50807e-10)
(0.005,(0.025 0.035 0),-2.59897e-10)
(0.005,(0.025 0.04 0),-2.90157e-10)
(0.005,(0.025 0.045 0),-3.57218e-10)
(0.005,(0.025 0.05 0),-5.13489e-10)
(0.005,(0.025 0.055 0),-9.81579e-10)
(0.005,(0.025 0.06 0),-1.85585e-09)
(0.005,(0.025 0.065 0),-2.06122e-09)
(0.005,(0.025 0.07 0),-2.097e-09)
(0.005,(0.025 0.075 0),-2.58688e-09)
(0.005,(0.03 -0.08 0),-2.60865e-09)
(0.005,(0.03 -0.075 0),-2.10584e-09)
(0.005,(0.03 -0.07 0),-2.06379e-09)
(0.005,(0.03 -0.065 0),-1.92638e-09)
(0.005,(0.03 -0.06 0),-1.37438e-09)
